%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589547224003611991,261,12,0,67
1589547224009158578,261,10,0,67
1589547224014352178,261,9,0,67
1589547224014379067,261,9,0,67
1589547224014507159,261,10,0,67
1589547224017666929,261,10,0,67
1589547224018232099,261,9,0,67
1589547224022285581,261,9,0,67
1589547224022378961,261,8,0,67
1589547224023026756,261,5,0,67
1589547224025070364,261,1,0,67
1589547224026497467,261,-4,0,67
1589547224029455809,261,-14,0,67
1589547224030541659,261,-26,0,67
1589547224032600912,261,-42,0,67
1589547224034040238,261,-60,0,67
1589547224035548010,261,-78,0,67
1589547224037280188,261,-94,0,67
1589547224040394979,261,-106,0,67
1589547224041631411,260,-113,0,67
1589547224043198829,260,-117,0,67
1589547224044793136,260,-117,0,67
1589547224047935306,260,-114,0,67
1589547224049821976,260,-104,0,67
1589547224052831165,260,-80,0,67
1589547224054663078,260,-37,0,67
1589547224056073070,260,26,0,67
1589547224058109344,260,112,0,67
1589547224062574481,260,216,0,67
1589547224063746867,260,327,0,67
1589547224064187856,260,421,0,67
1589547224065695628,260,467,0,67
1589547224068063377,260,460,0,67
1589547224069665019,260,433,0,67
1589547224072316331,260,417,0,67
1589547224073703833,260,414,0,67
1589547224076075494,260,409,0,67
1589547224078468667,260,390,0,67
1589547224079169262,260,360,0,67
1589547224080869173,260,325,0,67
1589547224082306054,260,280,0,67
1589547224085352399,260,208,0,67
1589547224087236136,260,98,0,67
1589547224088501413,260,-30,0,67
1589547224090522531,260,-144,0,67
1589547224093030596,260,-217,0,67
1589547224094893799,260,-252,0,67
1589547224097898098,260,-264,0,67
1589547224101564370,260,-265,0,67
1589547224101605927,260,-259,0,67
1589547224102924005,260,-244,0,64
1589547224106156132,260,-221,0,64
1589547224107458566,260,-192,0,64
1589547224109007894,259,-162,0,64
1589547224110965456,259,-138,0,64
1589547224114330564,259,-124,0,64
1589547224115954695,259,-122,0,64
1589547224117584203,259,-131,0,64
1589547224119175088,259,-146,0,64
1589547224122190632,259,-159,0,64
1589547224123527289,259,-163,0,64
1589547224126546744,259,-156,0,64
1589547224128095584,259,-139,0,64
1589547224129858074,259,-118,0,64
1589547224131403002,259,-98,0,64
1589547224134007869,259,-84,0,64
1589547224135502441,259,-79,0,64
1589547224138267178,259,-83,0,64
1589547224140399766,259,-91,0,64
1589547224142184745,259,-101,0,64
1589547224143475445,259,-107,0,64
1589547224146643037,259,-105,0,64
1589547224147942537,259,-94,0,64
