%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589530382095606816,244,18,0,78
1589530382101458449,244,27,0,78
1589530382105622891,244,36,0,78
1589530382108138765,244,43,0,78
1589530382108467794,244,45,0,78
1589530382110178941,244,43,0,78
1589530382110200453,244,37,0,78
1589530382111371855,244,30,0,78
1589530382114383473,244,24,0,78
1589530382115989017,244,23,0,78
1589530382116948237,244,28,0,78
1589530382118446224,244,36,0,78
1589530382121084323,244,44,0,78
1589530382124011851,244,50,0,78
1589530382125427702,244,52,0,78
1589530382126281809,244,52,0,78
1589530382129466986,244,50,0,78
1589530382131070575,244,47,0,78
1589530382132612563,244,45,0,78
1589530382134859054,244,46,0,78
1589530382137063011,244,49,0,78
1589530382138339526,244,53,0,78
1589530382141698752,244,59,0,78
1589530382143164960,244,66,0,78
1589530382144744104,244,71,0,78
1589530382146761790,244,73,0,78
1589530382150152305,244,71,0,78
1589530382151243528,244,67,0,78
1589530382152801649,244,63,0,78
1589530382154514263,244,61,0,78
1589530382157004714,244,61,0,78
1589530382158832708,244,65,0,78
1589530382162020819,244,69,0,78
1589530382163089063,244,73,0,78
1589530382164774298,244,74,0,78
1589530382167060390,244,73,0,78
1589530382170150232,244,71,0,78
1589530382171027317,244,70,0,78
1589530382174340097,244,69,0,78
1589530382175850795,244,69,0,78
1589530382177790746,244,70,0,78
1589530382179690119,244,73,0,78
1589530382181160239,244,75,0,78
1589530382183528466,244,76,0,78
1589530382185032808,244,76,0,78
1589530382186669642,244,73,0,78
1589530382188049315,244,67,0,78
1589530382189942821,244,60,0,78
1589530382191343028,244,56,0,78
1589530382194175709,244,54,0,78
1589530382195568094,244,56,0,78
1589530382198421309,244,59,0,78
1589530382200111433,244,62,0,78
1589530382202178987,244,64,0,78
1589530382204552103,244,63,0,78
1589530382205957687,244,60,0,78
1589530382207852660,244,55,0,78
1589530382210809033,244,51,0,78
1589530382212440978,244,48,0,78
1589530382213763450,244,46,0,78
1589530382216845958,244,45,0,78
1589530382218816221,244,44,0,78
1589530382220120604,244,43,0,78
1589530382223034442,244,43,0,78
1589530382228836207,244,44,0,78
1589530382228862608,244,44,0,78
1589530382228934476,244,43,0,78
1589530382232475572,244,39,0,78
1589530382232931715,244,35,0,78
1589530382242128395,244,30,0,78
1589530382243196150,244,26,0,78
1589530382243220595,244,21,0,78
1589530382247021297,244,19,0,78
1589530382247852914,244,20,0,78
1589530382249691174,244,22,0,78
1589530382251325075,244,23,0,78
1589530382253404852,244,22,0,78
1589530382254672567,244,20,0,78
1589530382256507894,244,17,0,78
1589530382258363755,244,14,0,78
1589530382259736583,244,12,0,78
1589530382262064232,244,11,0,78
1589530382266174406,244,10,0,78
1589530382266224762,244,8,0,78
1589530382267161004,244,7,0,78
1589530382268529921,244,6,0,78
1589530382270156978,244,6,0,78
1589530382271506828,244,5,0,78
1589530382273055171,244,4,0,78
1589530382275298240,244,2,0,78
1589530382277392683,244,1,0,78
1589530382280009271,244,1,0,78
1589530382281881266,244,1,0,78
1589530382283278050,244,1,0,78
1589530382285416006,244,0,0,78
1589530382286979505,244,0,0,78
1589530382288419802,244,-2,0,78
1589530382290145615,244,-3,0,78
1589530382291542889,244,-5,0,78
1589530382293462795,244,-6,0,78
1589530382296258809,244,-7,0,78
1589530382297614037,244,-9,0,78
1589530382301105265,244,-11,0,78
1589530382302464894,244,-12,0,78
1589530382303854345,244,-13,0,78
1589530382306130170,244,-12,0,78
