%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589535338940128940,158,50,0,80
1589535338943452945,158,47,0,80
1589535338947798742,158,46,0,80
1589535338949402810,158,46,0,80
1589535338950838209,158,48,0,80
1589535338952889128,158,49,0,80
1589535338954173947,158,50,0,80
1589535338956173043,158,49,0,80
1589535338957451017,158,48,0,80
1589535338958995929,158,46,0,80
1589535338960439639,158,43,0,80
1589535338963610619,158,41,0,80
1589535338965071441,158,38,0,80
1589535338968775317,158,36,0,80
1589535338970370585,158,36,0,80
1589535338972075366,158,36,0,80
1589535338973764013,158,38,0,80
1589535338975124122,158,39,0,80
1589535338976871436,158,39,0,80
1589535338978814798,158,38,0,80
1589535338980529357,158,38,0,80
1589535338983256908,158,37,0,80
1589535338984747063,158,37,0,80
1589535338986255797,158,36,0,80
1589535338987882354,158,35,0,80
1589535338990244700,158,33,0,80
1589535338991799390,158,30,0,80
1589535338993472881,158,28,0,80
1589535338996309456,158,26,0,80
1589535338997598186,158,24,0,80
1589535339000633253,158,23,0,80
1589535339002166431,158,23,0,80
1589535339004425131,158,25,0,80
1589535339005578926,158,26,0,80
1589535339008044918,158,27,0,80
1589535339009620630,158,27,0,80
1589535339012468938,158,26,0,80
1589535339014034383,158,25,0,80
1589535339017166741,158,25,0,80
1589535339019560376,158,26,0,80
1589535339020555279,158,26,0,80
1589535339021992145,158,25,0,80
1589535339025416862,158,23,0,80
1589535339028027078,158,21,0,80
1589535339028634776,158,19,0,80
1589535339029869239,158,19,0,80
1589535339033266578,158,18,0,80
1589535339034464862,158,17,0,80
1589535339037714065,158,15,0,80
1589535339039163153,158,15,0,80
1589535339040950557,158,16,0,80
1589535339042192353,158,18,0,80
1589535339045409290,158,20,0,80
1589535339046750332,158,21,0,80
1589535339050310962,158,20,0,80
1589535339051750761,158,20,0,80
1589535339053323051,158,22,0,80
1589535339054754538,158,23,0,80
1589535339058354280,158,22,0,80
1589535339059777457,158,20,0,80
1589535339061517438,158,17,0,80
1589535339062938170,158,16,0,80
1589535339065809457,158,18,0,80
1589535339068916880,158,20,0,80
1589535339069363242,158,22,0,80
1589535339070658817,158,22,0,80
1589535339073470947,158,21,0,80
1589535339075074526,158,19,0,80
1589535339077563985,158,16,0,80
1589535339078910405,158,14,0,80
1589535339081533333,158,13,0,80
1589535339083102689,158,14,0,80
1589535339084871515,158,16,0,80
1589535339086325492,158,16,0,80
1589535339088110452,158,16,0,80
1589535339091073162,158,13,0,80
1589535339092953456,158,10,0,80
1589535339094162007,158,7,0,80
1589535339096049146,158,4,0,80
1589535339099552087,158,2,0,80
1589535339100492234,158,1,0,80
1589535339103219296,158,2,0,80
1589535339104547627,158,3,0,80
1589535339106139473,158,6,0,80
1589535339107775319,158,8,0,80
1589535339110307312,158,9,0,80
1589535339111525152,158,7,0,80
1589535339114726932,158,3,0,80
1589535339115781481,158,0,0,80
1589535339119063441,158,-4,0,80
1589535339120330170,158,-5,0,80
1589535339123785199,158,-6,0,80
1589535339125021617,158,-7,0,80
1589535339126844711,158,-6,0,80
1589535339128259087,158,-3,0,80
1589535339131449623,158,-1,0,80
1589535339133043913,158,-1,0,80
1589535339135931822,158,-4,0,80
1589535339137470378,158,-10,0,80
1589535339139826368,158,-15,0,80
1589535339140870162,158,-17,0,80
1589535339144364791,158,-16,0,80
1589535339146779937,158,-13,0,80
1589535339148352716,158,-8,0,80
1589535339150748307,158,-3,0,80
1589535339151535430,158,0,0,80
1589535339153112608,158,0,0,80
1589535339156287988,158,-2,0,80
1589535339157796722,158,-7,0,80
1589535339160565829,158,-11,0,80
1589535339162078474,158,-14,0,80
1589535339163863922,158,-16,0,80
1589535339165366789,158,-17,0,80
1589535339167596644,158,-18,0,80
1589535339168860440,158,-17,0,80
1589535339171609503,158,-17,0,80
1589535339173104547,158,-15,0,80
1589535339175623829,158,-13,0,80
1589535339177018649,158,-9,0,80
1589535339178717074,158,-6,0,80
1589535339180341187,158,-6,0,80
1589535339182320238,158,-9,0,80
1589535339184232800,158,-13,0,80
1589535339185976692,158,-16,0,80
1589535339189378920,158,-18,0,80
1589535339190297067,158,-20,0,80
1589535339193725695,158,-21,0,80
1589535339195000736,158,-22,0,80
1589535339197157257,158,-21,0,80
1589535339198927061,158,-20,0,80
1589535339200305259,158,-19,0,80
1589535339201890260,158,-19,0,80
1589535339205443556,158,-20,0,80
1589535339206683886,158,-22,0,80
1589535339209832377,158,-23,0,80
1589535339211254086,158,-24,0,80
1589535339212750597,158,-25,0,80
1589535339214736982,158,-25,0,80
1589535339217500712,158,-23,0,80
1589535339219389317,158,-23,0,80
1589535339221984867,158,-24,0,80
1589535339223698936,158,-27,0,80
1589535339225439895,158,-31,0,80
1589535339226628891,158,-34,0,80
1589535339229643913,158,-35,0,80
1589535339231033844,158,-36,0,80
1589535339234180379,158,-36,0,80
1589535339235451998,158,-35,0,80
1589535339238935872,158,-33,0,80
1589535339238970583,158,-29,0,80
1589535339241770980,158,-23,0,80
1589535339243214690,158,-17,0,80
1589535339246058599,158,-13,0,80
1589535339247440708,158,-13,0,80
1589535339250135992,158,-16,0,80
1589535339251624681,158,-22,0,80
1589535339254403566,158,-30,0,80
1589535339255814031,158,-38,0,80
1589535339258690207,158,-48,0,80
1589535339260261519,158,-62,0,80
1589535339262157947,158,-80,0,80
1589535339263671569,158,-100,0,80
1589535339265713688,158,-119,0,80
1589535339267427269,158,-134,0,80
1589535339270323489,158,-141,0,80
1589535339271634709,158,-142,0,80
1589535339273089174,158,-138,0,80
