%time,field.GSR_value,field.ECG_value,field.EMG_value,field.HR
1589538069576964395,120,13,0,72
1589538069578091771,120,14,0,72
1589538069579482659,120,13,0,72
1589538069581466079,120,12,0,72
1589538069584824254,120,11,0,72
1589538069586582785,120,9,0,72
1589538069587809895,120,7,0,72
1589538069589501449,120,7,0,72
1589538069592550157,120,9,0,72
1589538069594013400,120,14,0,72
1589538069597063086,120,20,0,72
1589538069598672995,120,24,0,72
1589538069600257483,120,25,0,72
1589538069601994014,120,25,0,72
1589538069604834945,120,23,0,72
1589538069606558765,120,20,0,72
1589538069608076275,120,18,0,72
1589538069609969251,120,15,0,72
1589538069612389248,120,13,0,72
1589538069613912136,120,11,0,72
1589538069616276889,120,9,0,72
1589538069617917598,120,9,0,72
1589538069620419240,120,11,0,72
1589538069621752439,120,12,0,72
1589538069623938748,120,12,0,72
1589538069625772568,120,10,0,72
1589538069627589277,120,6,0,72
1589538069629324831,120,3,0,72
1589538069631354696,120,2,0,72
1589538069633971716,120,3,0,72
1589538069635920425,120,5,0,72
1589538069637278557,120,5,0,72
1589538069638719311,120,4,0,72
1589538069641482997,120,0,0,72
1589538069642912018,120,-5,0,72
1589538069646464281,120,-14,0,72
1589538069647873746,120,-21,0,72
1589538069649473389,120,-26,0,72
1589538069651170321,120,-28,0,72
1589538069654340273,120,-27,0,72
1589538069655759516,120,-28,0,72
1589538069657473559,120,-30,0,72
1589538069659034090,120,-32,0,72
1589538069662139510,120,-34,0,72
1589538069663595419,120,-34,0,72
1589538069666214394,120,-34,0,72
1589538069667837504,120,-35,0,72
1589538069670112790,120,-37,0,72
1589538069671614656,120,-38,0,72
1589538069674293275,120,-38,0,72
1589538069675954029,120,-38,0,72
1589538069677863138,120,-39,0,72
1589538069679941892,120,-40,0,72
1589538069682770111,120,-40,0,72
1589538069684189354,120,-40,0,72
1589538069687891706,120,-41,0,72
1589538069689146683,120,-42,0,72
1589538069690503348,120,-42,0,72
1589538069692182679,120,-41,0,72
1589538069695179565,120,-40,0,72
1589538069696781653,120,-38,0,72
1589538069698610584,120,-35,0,72
1589538069700042538,120,-33,0,72
1589538069703286313,120,-31,0,72
1589538069704579423,120,-32,0,72
1589538069706173688,120,-35,0,72
1589538069707961553,120,-39,0,72
1589538069710971638,120,-43,0,72
1589538069712306304,120,-44,0,72
1589538069714530257,120,-44,0,72
1589538069716115233,120,-41,0,72
